R,L,V_in,V_R,V_L
136.73469387755102,0.002102040816326531,1.0,1.0,0.0
136.73469387755102,0.002285714285714286,1.0,1.0,0.0
136.73469387755102,0.0024693877551020408,1.0,1.0,0.0
136.73469387755102,0.002653061224489796,1.0,1.0,0.0
136.73469387755102,0.0028367346938775514,1.0,1.0,0.0
136.73469387755102,0.0030204081632653063,1.0,1.0,0.0
136.73469387755102,0.0032040816326530616,1.0,1.0,0.0
136.73469387755102,0.0033877551020408164,1.0,1.0,0.0
136.73469387755102,0.0035714285714285718,1.0,1.0,0.0
136.73469387755102,0.0037551020408163266,1.0,1.0,0.0
136.73469387755102,0.003938775510204082,1.0,1.0,0.0
136.73469387755102,0.004122448979591837,1.0,1.0,0.0
136.73469387755102,0.004306122448979592,1.0,1.0,0.0
136.73469387755102,0.004489795918367347,1.0,1.0,0.0
136.73469387755102,0.004673469387755102,1.0,1.0,0.0
136.73469387755102,0.004857142857142858,1.0,1.0,0.0
136.73469387755102,0.0050408163265306125,1.0,1.0,0.0
136.73469387755102,0.005224489795918367,1.0,1.0,0.0
136.73469387755102,0.005408163265306123,1.0,1.0,0.0
136.73469387755102,0.005591836734693878,1.0,1.0,0.0
136.73469387755102,0.005775510204081633,1.0,1.0,0.0
136.73469387755102,0.005959183673469389,1.0,1.0,0.0
136.73469387755102,0.0061428571428571435,1.0,1.0,0.0
136.73469387755102,0.006326530612244898,1.0,1.0,0.0
136.73469387755102,0.006510204081632653,1.0,1.0,0.0
136.73469387755102,0.006693877551020409,1.0,1.0,0.0
136.73469387755102,0.006877551020408164,1.0,1.0,0.0
136.73469387755102,0.007061224489795919,1.0,1.0,0.0
136.73469387755102,0.0072448979591836745,1.0,1.0,0.0
136.73469387755102,0.007428571428571429,1.0,1.0,0.0
136.73469387755102,0.007612244897959184,1.0,1.0,0.0
136.73469387755102,0.007795918367346939,1.0,1.0,0.0
136.73469387755102,0.007979591836734695,1.0,1.0,0.0
136.73469387755102,0.00816326530612245,1.0,1.0,0.0
136.73469387755102,0.008346938775510205,1.0,1.0,0.0
136.73469387755102,0.00853061224489796,1.0,1.0,0.0
136.73469387755102,0.008714285714285716,1.0,1.0,0.0
136.73469387755102,0.00889795918367347,1.0,1.0,0.0
136.73469387755102,0.009081632653061226,1.0,1.0,0.0
136.73469387755102,0.009265306122448979,1.0,1.0,0.0
136.73469387755102,0.009448979591836736,1.0,1.0,0.0
136.73469387755102,0.009632653061224492,1.0,1.0,0.0
136.73469387755102,0.009816326530612245,1.0,1.0,0.0
136.73469387755102,0.01,1.0,1.0,0.0
155.10204081632654,0.001,1.0,1.0,0.0
155.10204081632654,0.0011836734693877551,1.0,1.0,0.0
155.10204081632654,0.0013673469387755102,1.0,1.0,0.0
155.10204081632654,0.0015510204081632655,1.0,1.0,0.0
155.10204081632654,0.0017346938775510204,1.0,1.0,0.0
155.10204081632654,0.0019183673469387757,1.0,1.0,0.0
155.10204081632654,0.002102040816326531,1.0,1.0,0.0
155.10204081632654,0.002285714285714286,1.0,1.0,0.0
155.10204081632654,0.0024693877551020408,1.0,1.0,0.0
155.10204081632654,0.002653061224489796,1.0,1.0,0.0
155.10204081632654,0.0028367346938775514,1.0,1.0,0.0
155.10204081632654,0.0030204081632653063,1.0,1.0,0.0
155.10204081632654,0.0032040816326530616,1.0,1.0,0.0
155.10204081632654,0.0033877551020408164,1.0,1.0,0.0
155.10204081632654,0.0035714285714285718,1.0,1.0,0.0
155.10204081632654,0.0037551020408163266,1.0,1.0,0.0
155.10204081632654,0.003938775510204082,1.0,1.0,0.0
155.10204081632654,0.004122448979591837,1.0,1.0,0.0
155.10204081632654,0.004306122448979592,1.0,1.0,0.0
155.10204081632654,0.004489795918367347,1.0,1.0,0.0
155.10204081632654,0.004673469387755102,1.0,1.0,0.0
155.10204081632654,0.004857142857142858,1.0,1.0,0.0
155.10204081632654,0.0050408163265306125,1.0,1.0,0.0
155.10204081632654,0.005224489795918367,1.0,1.0,0.0
155.10204081632654,0.005408163265306123,1.0,1.0,0.0
155.10204081632654,0.005591836734693878,1.0,1.0,0.0
155.10204081632654,0.005775510204081633,1.0,1.0,0.0
155.10204081632654,0.005959183673469389,1.0,1.0,0.0
155.10204081632654,0.0061428571428571435,1.0,1.0,0.0
155.10204081632654,0.006326530612244898,1.0,1.0,0.0
155.10204081632654,0.006510204081632653,1.0,1.0,0.0
155.10204081632654,0.006693877551020409,1.0,1.0,0.0
155.10204081632654,0.006877551020408164,1.0,1.0,0.0
155.10204081632654,0.007061224489795919,1.0,1.0,0.0
155.10204081632654,0.0072448979591836745,1.0,1.0,0.0
155.10204081632654,0.007428571428571429,1.0,1.0,0.0
155.10204081632654,0.007612244897959184,1.0,1.0,0.0
155.10204081632654,0.007795918367346939,1.0,1.0,0.0
155.10204081632654,0.007979591836734695,1.0,1.0,0.0
155.10204081632654,0.00816326530612245,1.0,1.0,0.0
155.10204081632654,0.008346938775510205,1.0,1.0,0.0
155.10204081632654,0.00853061224489796,1.0,1.0,0.0
155.10204081632654,0.008714285714285716,1.0,1.0,0.0
155.10204081632654,0.00889795918367347,1.0,1.0,0.0
155.10204081632654,0.009081632653061226,1.0,1.0,0.0
155.10204081632654,0.009265306122448979,1.0,1.0,0.0
155.10204081632654,0.009448979591836736,1.0,1.0,0.0
155.10204081632654,0.009632653061224492,1.0,1.0,0.0
155.10204081632654,0.009816326530612245,1.0,1.0,0.0
155.10204081632654,0.01,1.0,1.0,0.0
173.46938775510205,0.001,1.0,1.0,0.0
173.46938775510205,0.0011836734693877551,1.0,1.0,0.0
173.46938775510205,0.0013673469387755102,1.0,1.0,0.0
173.46938775510205,0.0015510204081632655,1.0,1.0,0.0
173.46938775510205,0.0017346938775510204,1.0,1.0,0.0
173.46938775510205,0.0019183673469387757,1.0,1.0,0.0
173.46938775510205,0.002102040816326531,1.0,1.0,0.0
173.46938775510205,0.002285714285714286,1.0,1.0,0.0
173.46938775510205,0.0024693877551020408,1.0,1.0,0.0
173.46938775510205,0.002653061224489796,1.0,1.0,0.0
173.46938775510205,0.0028367346938775514,1.0,1.0,0.0
173.46938775510205,0.0030204081632653063,1.0,1.0,0.0
173.46938775510205,0.0032040816326530616,1.0,1.0,0.0
173.46938775510205,0.0033877551020408164,1.0,1.0,0.0
173.46938775510205,0.0035714285714285718,1.0,1.0,0.0
173.46938775510205,0.0037551020408163266,1.0,1.0,0.0
173.46938775510205,0.003938775510204082,1.0,1.0,0.0
173.46938775510205,0.004122448979591837,1.0,1.0,0.0
173.46938775510205,0.004306122448979592,1.0,1.0,0.0
173.46938775510205,0.004489795918367347,1.0,1.0,0.0
173.46938775510205,0.004673469387755102,1.0,1.0,0.0
173.46938775510205,0.004857142857142858,1.0,1.0,0.0
173.46938775510205,0.0050408163265306125,1.0,1.0,0.0
173.46938775510205,0.005224489795918367,1.0,1.0,0.0
173.46938775510205,0.005408163265306123,1.0,1.0,0.0
173.46938775510205,0.005591836734693878,1.0,1.0,0.0
173.46938775510205,0.005775510204081633,1.0,1.0,0.0
173.46938775510205,0.005959183673469389,1.0,1.0,0.0
173.46938775510205,0.0061428571428571435,1.0,1.0,0.0
173.46938775510205,0.006326530612244898,1.0,1.0,0.0
173.46938775510205,0.006510204081632653,1.0,1.0,0.0
173.46938775510205,0.006693877551020409,1.0,1.0,0.0
173.46938775510205,0.006877551020408164,1.0,1.0,0.0
173.46938775510205,0.007061224489795919,1.0,1.0,0.0
173.46938775510205,0.0072448979591836745,1.0,1.0,0.0
173.46938775510205,0.007428571428571429,1.0,1.0,0.0
173.46938775510205,0.007612244897959184,1.0,1.0,0.0
173.46938775510205,0.007795918367346939,1.0,1.0,0.0
173.46938775510205,0.007979591836734695,1.0,1.0,0.0
173.46938775510205,0.00816326530612245,1.0,1.0,0.0
173.46938775510205,0.008346938775510205,1.0,1.0,0.0
173.46938775510205,0.00853061224489796,1.0,1.0,0.0
173.46938775510205,0.008714285714285716,1.0,1.0,0.0
173.46938775510205,0.00889795918367347,1.0,1.0,0.0
173.46938775510205,0.009081632653061226,1.0,1.0,0.0
173.46938775510205,0.009265306122448979,1.0,1.0,0.0
173.46938775510205,0.009448979591836736,1.0,1.0,0.0
173.46938775510205,0.009632653061224492,1.0,1.0,0.0
173.46938775510205,0.009816326530612245,1.0,1.0,0.0
173.46938775510205,0.01,1.0,1.0,0.0
191.83673469387756,0.001,1.0,1.0,0.0
191.83673469387756,0.0011836734693877551,1.0,1.0,0.0
191.83673469387756,0.0013673469387755102,1.0,1.0,0.0
191.83673469387756,0.0015510204081632655,1.0,1.0,0.0
191.83673469387756,0.0017346938775510204,1.0,1.0,0.0
191.83673469387756,0.0019183673469387757,1.0,1.0,0.0
191.83673469387756,0.002102040816326531,1.0,1.0,0.0
191.83673469387756,0.002285714285714286,1.0,1.0,0.0
191.83673469387756,0.0024693877551020408,1.0,1.0,0.0
191.83673469387756,0.002653061224489796,1.0,1.0,0.0
191.83673469387756,0.0028367346938775514,1.0,1.0,0.0
191.83673469387756,0.0030204081632653063,1.0,1.0,0.0
191.83673469387756,0.0032040816326530616,1.0,1.0,0.0
191.83673469387756,0.0033877551020408164,1.0,1.0,0.0
191.83673469387756,0.0035714285714285718,1.0,1.0,0.0
191.83673469387756,0.0037551020408163266,1.0,1.0,0.0
191.83673469387756,0.003938775510204082,1.0,1.0,0.0
191.83673469387756,0.004122448979591837,1.0,1.0,0.0
191.83673469387756,0.004306122448979592,1.0,1.0,0.0
191.83673469387756,0.004489795918367347,1.0,1.0,0.0
191.83673469387756,0.004673469387755102,1.0,1.0,0.0
191.83673469387756,0.004857142857142858,1.0,1.0,0.0
191.83673469387756,0.0050408163265306125,1.0,1.0,0.0
191.83673469387756,0.005224489795918367,1.0,1.0,0.0
191.83673469387756,0.005408163265306123,1.0,1.0,0.0
191.83673469387756,0.005591836734693878,1.0,1.0,0.0
191.83673469387756,0.005775510204081633,1.0,1.0,0.0
191.83673469387756,0.005959183673469389,1.0,1.0,0.0
191.83673469387756,0.0061428571428571435,1.0,1.0,0.0
191.83673469387756,0.006326530612244898,1.0,1.0,0.0
191.83673469387756,0.006510204081632653,1.0,1.0,0.0
191.83673469387756,0.006693877551020409,1.0,1.0,0.0
191.83673469387756,0.006877551020408164,1.0,1.0,0.0
191.83673469387756,0.007061224489795919,1.0,1.0,0.0
191.83673469387756,0.0072448979591836745,1.0,1.0,0.0
191.83673469387756,0.007428571428571429,1.0,1.0,0.0
191.83673469387756,0.007612244897959184,1.0,1.0,0.0
191.83673469387756,0.007795918367346939,1.0,1.0,0.0
191.83673469387756,0.007979591836734695,1.0,1.0,0.0
191.83673469387756,0.00816326530612245,1.0,1.0,0.0
191.83673469387756,0.008346938775510205,1.0,1.0,0.0
191.83673469387756,0.00853061224489796,1.0,1.0,0.0
191.83673469387756,0.008714285714285716,1.0,1.0,0.0
191.83673469387756,0.00889795918367347,1.0,1.0,0.0
191.83673469387756,0.009081632653061226,1.0,1.0,0.0
191.83673469387756,0.009265306122448979,1.0,1.0,0.0
191.83673469387756,0.009448979591836736,1.0,1.0,0.0
191.83673469387756,0.009632653061224492,1.0,1.0,0.0
191.83673469387756,0.009816326530612245,1.0,1.0,0.0
191.83673469387756,0.01,1.0,1.0,0.0
210.20408163265307,0.001,1.0,1.0,0.0
210.20408163265307,0.0011836734693877551,1.0,1.0,0.0
210.20408163265307,0.0013673469387755102,1.0,1.0,0.0
210.20408163265307,0.0015510204081632655,1.0,1.0,0.0
210.20408163265307,0.0017346938775510204,1.0,1.0,0.0
210.20408163265307,0.0019183673469387757,1.0,1.0,0.0
210.20408163265307,0.002102040816326531,1.0,1.0,0.0
210.20408163265307,0.002285714285714286,1.0,1.0,0.0
210.20408163265307,0.0024693877551020408,1.0,1.0,0.0
210.20408163265307,0.002653061224489796,1.0,1.0,0.0
210.20408163265307,0.0028367346938775514,1.0,1.0,0.0
210.20408163265307,0.0030204081632653063,1.0,1.0,0.0
210.20408163265307,0.0032040816326530616,1.0,1.0,0.0
210.20408163265307,0.0033877551020408164,1.0,1.0,0.0
210.20408163265307,0.0035714285714285718,1.0,1.0,0.0
210.20408163265307,0.0037551020408163266,1.0,1.0,0.0
210.20408163265307,0.003938775510204082,1.0,1.0,0.0
210.20408163265307,0.004122448979591837,1.0,1.0,0.0
210.20408163265307,0.004306122448979592,1.0,1.0,0.0
210.20408163265307,0.004489795918367347,1.0,1.0,0.0
210.20408163265307,0.004673469387755102,1.0,1.0,0.0
210.20408163265307,0.004857142857142858,1.0,1.0,0.0
210.20408163265307,0.0050408163265306125,1.0,1.0,0.0
210.20408163265307,0.005224489795918367,1.0,1.0,0.0
210.20408163265307,0.005408163265306123,1.0,1.0,0.0
210.20408163265307,0.005591836734693878,1.0,1.0,0.0
210.20408163265307,0.005775510204081633,1.0,1.0,0.0
210.20408163265307,0.005959183673469389,1.0,1.0,0.0
210.20408163265307,0.0061428571428571435,1.0,1.0,0.0
210.20408163265307,0.006326530612244898,1.0,1.0,0.0
210.20408163265307,0.006510204081632653,1.0,1.0,0.0
210.20408163265307,0.006693877551020409,1.0,1.0,0.0
210.20408163265307,0.006877551020408164,1.0,1.0,0.0
210.20408163265307,0.007061224489795919,1.0,1.0,0.0
210.20408163265307,0.0072448979591836745,1.0,1.0,0.0
210.20408163265307,0.007428571428571429,1.0,1.0,0.0
210.20408163265307,0.007612244897959184,1.0,1.0,0.0
210.20408163265307,0.007795918367346939,1.0,1.0,0.0
210.20408163265307,0.007979591836734695,1.0,1.0,0.0
210.20408163265307,0.00816326530612245,1.0,1.0,0.0
210.20408163265307,0.008346938775510205,1.0,1.0,0.0
210.20408163265307,0.00853061224489796,1.0,1.0,0.0
210.20408163265307,0.008714285714285716,1.0,1.0,0.0
210.20408163265307,0.00889795918367347,1.0,1.0,0.0
210.20408163265307,0.009081632653061226,1.0,1.0,0.0
210.20408163265307,0.009265306122448979,1.0,1.0,0.0
210.20408163265307,0.009448979591836736,1.0,1.0,0.0
210.20408163265307,0.009632653061224492,1.0,1.0,0.0
210.20408163265307,0.009816326530612245,1.0,1.0,0.0
210.20408163265307,0.01,1.0,1.0,0.0
228.57142857142858,0.001,1.0,1.0,0.0
228.57142857142858,0.0011836734693877551,1.0,1.0,0.0
228.57142857142858,0.0013673469387755102,1.0,1.0,0.0
228.57142857142858,0.0015510204081632655,1.0,1.0,0.0
228.57142857142858,0.0017346938775510204,1.0,1.0,0.0
228.57142857142858,0.0019183673469387757,1.0,1.0,0.0
228.57142857142858,0.002102040816326531,1.0,1.0,0.0
228.57142857142858,0.002285714285714286,1.0,1.0,0.0
228.57142857142858,0.0024693877551020408,1.0,1.0,0.0
228.57142857142858,0.002653061224489796,1.0,1.0,0.0
228.57142857142858,0.0028367346938775514,1.0,1.0,0.0
228.57142857142858,0.0030204081632653063,1.0,1.0,0.0
228.57142857142858,0.0032040816326530616,1.0,1.0,0.0
228.57142857142858,0.0033877551020408164,1.0,1.0,0.0
228.57142857142858,0.0035714285714285718,1.0,1.0,0.0
228.57142857142858,0.0037551020408163266,1.0,1.0,0.0
228.57142857142858,0.003938775510204082,1.0,1.0,0.0
228.57142857142858,0.004122448979591837,1.0,1.0,0.0
228.57142857142858,0.004306122448979592,1.0,1.0,0.0
228.57142857142858,0.004489795918367347,1.0,1.0,0.0
228.57142857142858,0.004673469387755102,1.0,1.0,0.0
228.57142857142858,0.004857142857142858,1.0,1.0,0.0
228.57142857142858,0.0050408163265306125,1.0,1.0,0.0
228.57142857142858,0.005224489795918367,1.0,1.0,0.0
228.57142857142858,0.005408163265306123,1.0,1.0,0.0
228.57142857142858,0.005591836734693878,1.0,1.0,0.0
228.57142857142858,0.005775510204081633,1.0,1.0,0.0
228.57142857142858,0.005959183673469389,1.0,1.0,0.0
228.57142857142858,0.0061428571428571435,1.0,1.0,0.0
228.57142857142858,0.006326530612244898,1.0,1.0,0.0
228.57142857142858,0.006510204081632653,1.0,1.0,0.0
228.57142857142858,0.006693877551020409,1.0,1.0,0.0
228.57142857142858,0.006877551020408164,1.0,1.0,0.0
228.57142857142858,0.007061224489795919,1.0,1.0,0.0
228.57142857142858,0.0072448979591836745,1.0,1.0,0.0
228.57142857142858,0.007428571428571429,1.0,1.0,0.0
228.57142857142858,0.007612244897959184,1.0,1.0,0.0
228.57142857142858,0.007795918367346939,1.0,1.0,0.0
228.57142857142858,0.007979591836734695,1.0,1.0,0.0
228.57142857142858,0.00816326530612245,1.0,1.0,0.0
228.57142857142858,0.008346938775510205,1.0,1.0,0.0
228.57142857142858,0.00853061224489796,1.0,1.0,0.0
228.57142857142858,0.008714285714285716,1.0,1.0,0.0
228.57142857142858,0.00889795918367347,1.0,1.0,0.0
228.57142857142858,0.009081632653061226,1.0,1.0,0.0
228.57142857142858,0.009265306122448979,1.0,1.0,0.0
228.57142857142858,0.009448979591836736,1.0,1.0,0.0
228.57142857142858,0.009632653061224492,1.0,1.0,0.0
228.57142857142858,0.009816326530612245,1.0,1.0,0.0
228.57142857142858,0.01,1.0,1.0,0.0
246.9387755102041,0.001,1.0,1.0,0.0
246.9387755102041,0.0011836734693877551,1.0,1.0,0.0
246.9387755102041,0.0013673469387755102,1.0,1.0,0.0
246.9387755102041,0.0015510204081632655,1.0,1.0,0.0
246.9387755102041,0.0017346938775510204,1.0,1.0,0.0
246.9387755102041,0.0019183673469387757,1.0,1.0,0.0
246.9387755102041,0.002102040816326531,1.0,1.0,0.0
246.9387755102041,0.002285714285714286,1.0,1.0,0.0
246.9387755102041,0.0024693877551020408,1.0,1.0,0.0
246.9387755102041,0.002653061224489796,1.0,1.0,0.0
246.9387755102041,0.0028367346938775514,1.0,1.0,0.0
246.9387755102041,0.0030204081632653063,1.0,1.0,0.0
246.9387755102041,0.0032040816326530616,1.0,1.0,0.0
246.9387755102041,0.0033877551020408164,1.0,1.0,0.0
246.9387755102041,0.0035714285714285718,1.0,1.0,0.0
246.9387755102041,0.0037551020408163266,1.0,1.0,0.0
246.9387755102041,0.003938775510204082,1.0,1.0,0.0
246.9387755102041,0.004122448979591837,1.0,1.0,0.0
246.9387755102041,0.004306122448979592,1.0,1.0,0.0
246.9387755102041,0.004489795918367347,1.0,1.0,0.0
246.9387755102041,0.004673469387755102,1.0,1.0,0.0
246.9387755102041,0.004857142857142858,1.0,1.0,0.0
246.9387755102041,0.0050408163265306125,1.0,1.0,0.0
246.9387755102041,0.005224489795918367,1.0,1.0,0.0
246.9387755102041,0.005408163265306123,1.0,1.0,0.0
246.9387755102041,0.005591836734693878,1.0,1.0,0.0
246.9387755102041,0.005775510204081633,1.0,1.0,0.0
246.9387755102041,0.005959183673469389,1.0,1.0,0.0
246.9387755102041,0.0061428571428571435,1.0,1.0,0.0
246.9387755102041,0.006326530612244898,1.0,1.0,0.0
246.9387755102041,0.006510204081632653,1.0,1.0,0.0
246.9387755102041,0.006693877551020409,1.0,1.0,0.0
246.9387755102041,0.006877551020408164,1.0,1.0,0.0
246.9387755102041,0.007061224489795919,1.0,1.0,0.0
246.9387755102041,0.0072448979591836745,1.0,1.0,0.0
246.9387755102041,0.007428571428571429,1.0,1.0,0.0
246.9387755102041,0.007612244897959184,1.0,1.0,0.0
246.9387755102041,0.007795918367346939,1.0,1.0,0.0
246.9387755102041,0.007979591836734695,1.0,1.0,0.0
246.9387755102041,0.00816326530612245,1.0,1.0,0.0
246.9387755102041,0.008346938775510205,1.0,1.0,0.0
246.9387755102041,0.00853061224489796,1.0,1.0,0.0
246.9387755102041,0.008714285714285716,1.0,1.0,0.0
246.9387755102041,0.00889795918367347,1.0,1.0,0.0
246.9387755102041,0.009081632653061226,1.0,1.0,0.0
246.9387755102041,0.009265306122448979,1.0,1.0,0.0
246.9387755102041,0.009448979591836736,1.0,1.0,0.0
246.9387755102041,0.009632653061224492,1.0,1.0,0.0
246.9387755102041,0.009816326530612245,1.0,1.0,0.0
246.9387755102041,0.01,1.0,1.0,0.0
265.30612244897964,0.001,1.0,1.0,0.0
265.30612244897964,0.0011836734693877551,1.0,1.0,0.0
265.30612244897964,0.0013673469387755102,1.0,1.0,0.0
265.30612244897964,0.0015510204081632655,1.0,1.0,0.0
265.30612244897964,0.0017346938775510204,1.0,1.0,0.0
265.30612244897964,0.0019183673469387757,1.0,1.0,0.0
265.30612244897964,0.002102040816326531,1.0,1.0,0.0
265.30612244897964,0.002285714285714286,1.0,1.0,0.0
265.30612244897964,0.0024693877551020408,1.0,1.0,0.0
265.30612244897964,0.002653061224489796,1.0,1.0,0.0
265.30612244897964,0.0028367346938775514,1.0,1.0,0.0
265.30612244897964,0.0030204081632653063,1.0,1.0,0.0
265.30612244897964,0.0032040816326530616,1.0,1.0,0.0
265.30612244897964,0.0033877551020408164,1.0,1.0,0.0
265.30612244897964,0.0035714285714285718,1.0,1.0,0.0
265.30612244897964,0.0037551020408163266,1.0,1.0,0.0
265.30612244897964,0.003938775510204082,1.0,1.0,0.0
265.30612244897964,0.004122448979591837,1.0,1.0,0.0
265.30612244897964,0.004306122448979592,1.0,1.0,0.0
265.30612244897964,0.004489795918367347,1.0,1.0,0.0
265.30612244897964,0.004673469387755102,1.0,1.0,0.0
265.30612244897964,0.004857142857142858,1.0,1.0,0.0
265.30612244897964,0.0050408163265306125,1.0,1.0,0.0
265.30612244897964,0.005224489795918367,1.0,1.0,0.0
265.30612244897964,0.005408163265306123,1.0,1.0,0.0
265.30612244897964,0.005591836734693878,1.0,1.0,0.0
265.30612244897964,0.005775510204081633,1.0,1.0,0.0
265.30612244897964,0.005959183673469389,1.0,1.0,0.0
265.30612244897964,0.0061428571428571435,1.0,1.0,0.0
265.30612244897964,0.006326530612244898,1.0,1.0,0.0
265.30612244897964,0.006510204081632653,1.0,1.0,0.0
265.30612244897964,0.006693877551020409,1.0,1.0,0.0
265.30612244897964,0.006877551020408164,1.0,1.0,0.0
265.30612244897964,0.007061224489795919,1.0,1.0,0.0
265.30612244897964,0.0072448979591836745,1.0,1.0,0.0
265.30612244897964,0.007428571428571429,1.0,1.0,0.0
